Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
toyota,land-cruiser-76-series,2020,139994,71399,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai,"2020 toyota land-cruiser-76-series with Adaptive cruise control, Bluetooth, Rear camera. Condition: Dented door."
nissan,x-trail,2020,85012,28571,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2020 nissan x-trail with Bluetooth, Sunroof, Navigation system, Leather seats. Condition: No damage."
bmw,x6,2021,342897,292448,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 bmw x6 with Bluetooth, Leather seats, Rear camera. Condition: Minor scratches."
porsche,cayenne,2024,380035,193415,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 porsche cayenne with Navigation system, Leather seats, Adaptive cruise control. Condition: Minor scratches."
land-rover,range-rover,2024,222044,33480,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Leather seats, Sunroof. Condition: Engine repaired."
nissan,altima,2022,35378,106108,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2022 nissan altima with Adaptive cruise control, Sunroof. Condition: Engine repaired."
porsche,cayenne,2023,26689,144687,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 porsche cayenne with Rear camera, Navigation system. Condition: Accident history."
toyota,prado,2024,165581,211218,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 toyota prado with Bluetooth, Adaptive cruise control, Leather seats, Navigation system. Condition: No damage."
benz,gls-class,2022,1156447,94130,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz gls-class with Rear camera, Sunroof, Adaptive cruise control, Navigation system. Condition: Dented door."
benz,gle-coupe,2021,556885,222948,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 mercedes-benz gle-coupe with Rear camera, Adaptive cruise control, Leather seats, Navigation system. Condition: Accident history."
toyota,hilux,2021,151613,113155,Pick Up Truck,4,Manual Transmission,Diesel,Grey, Dubai,"2021 toyota hilux with Leather seats, Navigation system, Adaptive cruise control. Condition: No damage."
land-rover,range-rover,2024,168761,80757,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Sunroof, Bluetooth. Condition: No damage."
benz,s-class,2020,717340,67821,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz s-class with Navigation system, Rear camera. Condition: Repainted bumper."
land-rover,range-rover,2020,460904,29781,SUV,8,Automatic Transmission,Gasoline,White, Ajman,"2020 land-rover range-rover with Adaptive cruise control, Navigation system, Sunroof. Condition: No damage."
bmw,5-series,2023,66361,258890,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2023 bmw 5-series with Leather seats, Sunroof, Rear camera. Condition: No damage."
porsche,boxster,2021,225017,181546,Soft Top Convertible,4,Automatic Transmission,Gasoline,White,Abu Dhabi,"2021 porsche boxster with Bluetooth, Adaptive cruise control, Rear camera. Condition: Dented door."
benz,gle-coupe,2022,670012,297489,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz gle-coupe with Navigation system, Leather seats, Adaptive cruise control. Condition: Accident history."
nissan,patrol,2024,134991,265092,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2024 nissan patrol with Leather seats, Bluetooth, Navigation system. Condition: Repainted bumper."
porsche,carrera,2022,212781,224288,Sports Car,6,Automatic Transmission,Gasoline,White, Dubai,"2022 porsche carrera with Bluetooth, Navigation system. Condition: Minor scratches."
toyota,avanza,2021,31144,130536,Van,4,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota avanza with Sunroof, Adaptive cruise control, Bluetooth, Leather seats. Condition: Minor scratches."
